Temp_C,Rel Hum_%,Wind Speed_km/h,Press_kPa,Percip
-1.8,86,4,101.24,0
-1.8,87,4,101.24,0
-1.8,89,7,101.26,0
-1.5,88,6,101.27,0
-1.5,88,7,101.23,0
-1.4,87,9,101.27,0
-1.5,89,7,101.29,0
-1.4,85,7,101.26,0
-1.4,85,9,101.23,0
-1.3,88,15,101.2,0
-1.0,91,9,101.15,0
-0.5,89,7,100.98,0
-0.2,88,9,100.79,0
0.2,87,13,100.58,0
0.8,87,20,100.31,0
1.8,85,22,100.07,0
2.6,82,13,99.93,0
3.0,81,13,99.81,0
3.8,82,15,99.74,1
3.1,88,15,99.68,1
3.2,87,19,99.5,0
4.0,85,20,99.39,0
4.4,84,24,99.32,1
5.3,79,30,99.31,0
5.2,77,35,99.26,1
4.6,72,39,99.26,0
3.9,71,32,99.26,0
3.7,69,33,99.3,0
2.9,69,32,99.26,0
2.6,70,32,99.21,0
2.3,70,26,99.18,0
2.0,70,33,99.14,0
1.9,68,39,99.14,0
1.8,67,44,99.14,0
1.5,66,43,99.18,0
2.2,66,30,99.19,0
1.7,56,48,99.21,0
1.1,57,37,99.27,0
1.1,56,33,99.33,0
0.0,59,33,99.41,0
-0.7,55,24,99.5,0
-2.1,57,22,99.66,2
-4.1,57,28,99.86,0
-4.8,57,24,100.0,0
-5.6,54,24,100.07,2
-5.8,58,26,100.15,2
-7.0,54,20,100.26,0
-7.4,59,17,100.27,2
-9.0,57,28,100.35,2
-9.7,54,20,100.43,0
-10.5,65,22,100.53,2
-11.3,54,33,100.61,2
-12.6,53,24,100.68,0
-12.9,60,22,100.76,2
-13.3,61,19,100.85,2
-14.0,63,19,100.95,2
-14.8,58,26,101.07,0
-15.0,56,19,101.2,0
-15.3,56,24,101.29,0
-14.9,54,22,101.33,0
-14.9,52,20,101.34,0
-15.1,54,22,101.34,0
-14.9,50,22,101.38,0
-14.8,53,19,101.44,0
-15.3,52,22,101.51,0
-15.8,53,22,101.58,0
-16.3,52,24,101.64,0
-16.9,50,24,101.74,0
-17.3,49,24,101.82,0
-17.0,52,15,101.86,0
-17.1,52,20,101.86,0
-17.3,55,17,101.87,0
-17.5,56,13,101.88,0
-17.9,58,11,101.86,0
-18.1,61,15,101.89,0
-18.5,59,13,101.88,0
-18.5,59,13,101.82,0
-18.6,62,9,101.77,0
-18.5,61,11,101.74,0
-18.2,60,11,101.75,0
-17.8,57,17,101.73,0
-16.8,61,9,101.68,0
-15.2,63,7,101.54,0
-14.2,56,13,101.41,0
-13.7,51,11,101.25,2
-12.4,53,11,101.07,0
-11.3,53,7,100.97,2
-10.2,61,11,100.89,2
-9.4,61,13,100.79,2
-8.9,71,9,100.76,2
-8.9,75,11,100.69,2
-8.4,71,9,100.65,2
-7.8,71,9,100.61,2
-7.6,73,7,100.54,2
-9.5,77,6,100.5,2
-9.6,79,6,100.42,2
-8.8,79,4,100.32,2
-7.5,81,0,100.29,2
-5.4,80,9,100.28,2
-5.0,81,11,100.24,2
-4.1,83,9,100.21,2
-7.0,82,4,100.19,2
-8.2,82,6,100.26,2
-7.1,82,9,100.31,2
-6.1,79,11,100.39,2
-6.6,76,9,100.42,0
-6.0,73,17,100.45,0
-5.6,70,22,100.41,0
-4.7,69,20,100.38,0
-4.4,66,26,100.4,0
-5.1,65,22,100.46,0
-4.3,55,26,100.52,0
-5.0,55,19,100.6,0
-6.7,56,11,100.65,0
